title,author,year
"Large Language Models for Sexual, Reproductive, and Maternal Health Rights.","['Walelign Tewabe Sewunetie', 'Assefa Beza', 'Hailemariam Abebe', 'Tesfamariam M. Abuhay', 'Wasyihun Sema Admass', 'Hayat Hassen', 'Tsion Haile', 'Hana Hailemariam', 'Lydia Debebe', 'Nurlign Moges', 'Nathnael Bekele', 'Surafel Luleseged Tilahun', 'Mahlet Berta', 'Mahlet Mammo', 'Seid Muhie Yimam', 'Kovacs László']",2024
FairMedFM: Fairness Benchmarking for Medical Imaging Foundation Models.,"['Ruinan Jin', 'Zikang Xu', 'Yuan Zhong 0003', 'Qingsong Yao', 'Qi Dou 0001', 'S. Kevin Zhou', 'Xiaoxiao Li']",2024
Unveiling Gender Dynamics for Mental Health Posts in Social Media and Generative Artificial Intelligence.,"['Tom Mattson', 'Qin Weng', 'Jie Ren 0009']",2025
Can Generative Artificial Intelligence Enable Equitable Access to Social Determinants of Health?,"['Sajda Qureshi', 'Blessing Elijah Oladokun', 'Kavya Nadendla']",2025
"Foundation Models in Healthcare: Opportunities, Biases and Regulatory Prospects in Europe.",['Malwina Anna Wójcik'],2022
SHIHbot: A Facebook chatbot for Sexual Health Information on HIV/AIDS.,"['Jacqueline Brixey', 'Rens Hoegen', 'Wei Lan', 'Joshua Rusow', 'Karan Singla', 'Xusen Yin', 'Ron Artstein', 'Anton Leuski']",2017
Do LLMs Tell Us What We Want to Hear? Investigating Confirmation Bias in AI Responses to Health Queries.,"['Rafael Ris-Ala', 'Gonçalo Gonçalves', 'Leonardo S. Lopes', 'Tiago F. Dantas', 'Dennis Paulino', 'André Thiago Netto', 'Diogo Guimarães', 'Artur Rocha', 'Adriana S. Vivacqua', 'Hugo Paredes']",2025
Investigating Gender Stereotypes in Large Language Models via Social Determinants of Health.,"['Trung Hieu Ngo', 'Adrien Bazoge', 'Solen Quiniou', 'Pierre-Antoine Gourraud', 'Emmanuel Morin']",2026
Mental Health Stigma across Diverse Genders in Generative Large Language Models - Abstract (abstract).,"['Lucille Njoo', 'Lee Janzen-Morel', 'Inna Wanyin Lin', 'Yulia Tsvetkov']",2024
How Can We Diagnose and Treat Bias in Large Language Models for Clinical Decision-Making?,"['Kenza Benkirane', 'Jackie Kay', 'María Pérez-Ortiz 0001']",2025
Beyond Tokens: Fair Evaluation of French Large Language Models for Clinical Named Entity Recognition.,"['Jamil Zaghir', 'Mina Bjelogrlic', 'Jean-Philippe Goldman', 'Adel Bensahla', 'Yuanyuan Zheng', 'Christian Lovis']",2024
High Accuracy and Hidden Disparities: Investigating Foundation Model Performance in Clinical Cognitive Assessment.,"['Abhay Sheel Anand', 'Deepak Ganesan', 'Ravi Karkar']",2026
AdolescentBot: Understanding Opportunities for Chatbots in Combating Adolescent Sexual and Reproductive Health Problems in Bangladesh.,"['Rifat Rahman', 'Md. Rishadur Rahman', 'Nafis Irtiza Tripto', 'Mohammed Eunus Ali', 'Sajid Hasan Apon', 'Rifat Shahriyar']",2021
Privacy and Safety Experiences and Concerns of US Women Using Generative AI for Seeking Sexual and Reproductive Health Information.,"['Ina Kaleva', 'Xiao Zhan', 'Ruba Abu-Salma', 'Jose Such']",2026
ChatGPT for Mental Health Applications: A study on biases.,"['Ritesh S. Soun', 'Aadya Nair']",2023
Health Disparities Through Generative AI Models: A Comparison Study Using a Domain Specific Large Language Model.,"['Yohn Jairo Parra Bautista', 'Carlos Theran', 'Richard A. Aló', 'Vinicious Lima']",2023
"A Multi-Domain Red Teaming Framework for Safety, Robustness, and Fairness Evaluation of Medical Large Language Models.","['Andrei Marian Feier', 'Veysel Kocaman', 'Yigit Gul', 'Ahmet Korkmaz', 'Alexander Thomas', 'Aleksei Zakharov', 'Jay Gil', 'Mehmet Butgul', 'David Talby']",2026
How Fair are Medical Imaging Foundation Models?,"['Muhammad Osama Khan', 'Muhammad Muneeb Afzal', 'Muhammad Shujaat Mirza', 'Yi Fang 0006']",2023
Uncovering Judgment Biases in Emergency Triage: A Public Health Approach Based on Large Language Models.,"['Ariel Guerra-Adames', 'Marta Avalos Fernandez', 'Oceane Doremus', 'Cédric Gil-Jardiné', 'Emmanuel Lagarde']",2024
Exposing and Mitigating Calibration Biases and Demographic Unfairness in MLLM Few-Shot In-Context Learning for Medical Image Classification.,"['Xing Shen 0001', 'Justin Szeto', 'Mingyang Li 0007', 'Hengguan Huang', 'Tal Arbel']",2025
Debiased Noise Editing on Foundation Models for Fair Medical Image Classification.,"['Ruinan Jin', 'Wenlong Deng', 'Minghui Chen', 'Xiaoxiao Li']",2024
RoBGuard: Enhancing LLMs to Assess Risk of Bias in Clinical Trial Documents.,"['Changkai Ji', 'Bowen Zhao', 'Zhuoyao Wang', 'Yingwen Wang', 'Yuejie Zhang', 'Ying Cheng 0005', 'Rui Feng 0001', 'Xiaobo Zhang']",2025
Unveiling Performance Challenges of Large Language Models in Low-Resource Healthcare: A Demographic Fairness Perspective.,"['Yue Zhou', 'Barbara Di Eugenio', 'Lu Cheng']",2025
Digital Health and AI Chatbots to Promote Sexual and Reproductive Health Among LBQ+ Women of Color.,"['Megan Threats', 'Yongjie Sha', 'Morgan Gray']",2025
Assessment of Medically Relevant Ageism Inherent in Large Language Models.,"['Tomohisa Seki', 'Yoshimasa Kawazoe', 'Hiromasa Ito', 'Toru Takiguchi', 'Yu Akagi', 'Memi Ebara', 'Kazuhiko Ohe']",2025
Web-based Patient-centered Toolkit: Demographics of Enrollment.,"['Sucheta Ravindran', 'Anuj K. Dalal', 'Constance R. C. Morrison', 'Julie M. Fiskio', 'John Hanna', 'Dianna L. Stade', 'Kelly McNally', 'Eli Mlaver', 'Patricia C. Dykes']",2015
Planning Equitable Clinical Trial Enrollment using Integer Programming.,"['Miao Qi', 'Amar K. Das', 'Kristin P. Bennett']",2021
Towards Equitable Enrollment into a Clinical Trial of a Digital Health Intervention using Multi-Pronged Recruitment Strategy.,"['Savanna Plombon', 'Robert S. Rudin', 'Jorge A. Sulca Flores', 'Gillian Goolkasian', 'Dinah Foer', 'Jorge Alberto Rodriguez', 'Anuj K. Dalal']",2022
Africa Health Check: Probing Cultural Bias in Medical LLMs.,"['Charles Nimo', 'Irfan Essa', 'Michael L. Best']",2025
"LLM-Enhanced, Data-Driven Personalized and Equitable Clinician Scheduling: A Predict-Then-Optimize Approach.","['Anjali Jha', 'Wanqing Chen', 'Maxim Eckmann', 'Ian Stockwell', 'Jianwu Wang 0001', 'Kai Sun']",2025
Building Trust in Clinical LLMs: Bias Analysis and Dataset Transparency.,"['Svetlana Maslenkova', 'Clément Christophe', 'Marco AF Pimentel', 'Tathagata Raha', 'Muhammad Umar Salman', 'Ahmed Al-Mahrooqi', 'Avani Gupta', 'Shadab Khan', 'Ronnie Rajan', 'Praveen K. Kanithi']",2025
Africa Health Check: Probing Cultural Bias in Medical LLMs.,"['Charles Nimo', 'Shuheng Liu 0002', 'Irfan Essa', 'Michael L. Best']",2025
ROBOTO2: An Interactive System and Dataset for LLM-assisted Clinical Trial Risk of Bias Assessment.,"['Anthony Hevia', 'Sanjana Shivani Chintalapati', 'Veronica Ka Wai Lai', 'Thanh Tam Nguyen', 'Wai-Tat Wong', 'Terry Klassen', 'Lucy Lu Wang']",2025
Can LLMs Replace Clinical Doctors? Exploring Bias in Disease Diagnosis by Large Language Models.,"['Yutian Zhao', 'Huimin Wang', 'Yuqi Liu', 'Suhuang Wu', 'Xian Wu 0001', 'Yefeng Zheng 0001']",2024
Elucidating Mechanisms of Demographic Bias in LLMs for Healthcare.,"['Hiba Ahsan', 'Arnab Sen Sharma', 'Silvio Amir', 'David Bau', 'Byron C. Wallace']",2025
Empirical Study of Social Bias in Medical Question Answering via Large Language Models.,"['Xiao Xiao', 'Jiaxu Zhao 0002', 'Terry R. Payne', 'Meng Fang']",2025
Fair Foundation Models for Medical Image Analysis: Challenges and Perspectives.,"['Dilermando Queiroz Neto', 'Anderson Carlos', 'André Anjos', 'Lilian Berton']",2026
Planning and Monitoring Equitable Clinical Trial Enrollment Using Goal Programming.,"['Miao Qi', 'Amar K. Das', 'Kristin P. Bennett']",2023
Computational challenges arising in algorithmic fairness and health equity with generative AI.,"['Vinith M. Suriyakumar', 'Anna Zink', 'Maia Hightower', 'Marzyeh Ghassemi', 'Brett K. Beaulieu-Jones']",2025
Mixed methods assessment of the influence of demographics on medical advice of ChatGPT.,"['Katerina Andreadis', 'Devon R. Newman', 'Chelsea Twan', 'Amelia Shunk', 'Devin M. Mann', 'Elizabeth R. Stevens']",2024
Leveraging large language models to foster equity in healthcare.,"['Jorge Alberto Rodriguez', 'Emily Alsentzer', 'David W. Bates']",2024
Evaluating healthcare quality and inequities using generative AI: a simulation study of potentially inappropriate medication among older adults analyzed via the framework analysis of individual heterogeneity and discriminatory accuracy (AIHDA).,"['Johan Öberg', 'Raquel Perez-Vicente', 'Martin Lindström', 'Patrik Midlöv', 'Juan Merlo']",2025
Achieving fair medical image segmentation in foundation models with adversarial visual prompt tuning.,"['Yuqi Li', 'Yanli Li', 'Kai Zhang 0029', 'Fuyan Zhang', 'Chuanguang Yang', 'Zhongliang Guo 0001', 'Weiping Ding 0001', 'Tingwen Huang']",2025
ChatGPT in complex adaptive healthcare systems: embrace with caution.,"['Martin Salzmann-Erikson', 'Camilla Göras', 'Maria Lindberg', 'Erebouni Arakelian', 'Annakarin Olsson']",2025
"An old disease, a new linguistic challenge for large language models: patient education on psoriasis and psoriatic arthritis in an underrepresented medical language.","['Ahmet Ugur Atilan', 'Niyazi Cetin']",2026
Bridging the health literacy gap through AI chatbot design: the impact of gender and doctor cues on chatbot trust and acceptance.,"['Eunjoo Jin', 'Yuhosua Ryoo', 'Woojin Kim', 'Y. Greg Song']",2025
Toward fair medical advice: Addressing and mitigating bias in large language model-based healthcare applications.,"['Haohui Lu', 'Ye Lin', 'Zhidong Li', 'Man Lung Yiu', 'Yu Gao 0025', 'Shahadat Uddin']",2025
Exploring the Roles of Age and Gender in User Satisfaction and Usage of AI-Driven Chatbots in Digital Health Services: A Multigroup Analysis.,"['Latifa Alzahrani', 'Vishanth Weerakkody']",2025
Generative AI mitigates representation bias and improves model fairness through synthetic health data.,"['Raffaele Marchesi', 'Nicolo Micheletti', 'Nicholas I-Hsien Kuo', 'Sebastiano Barbieri', 'Giuseppe Jurman', 'Venet Osmani']",2025
Through ChatGPT's Eyes: The Large Language Model's Stereotypes and what They Reveal About Healthcare.,"['Annika Meyer', 'Wolfgang A. Wetsch', 'Andrea U. Steinbicker', 'Thomas Streichert']",2025
Invisible Bias in GPT-4o-mini: Detecting Disparities in AI-Generated Patient Messaging.,"['Christopher Reagen', 'Katelyn M. Brown', 'Thomas Hocker']",2025
Towards A Fair Duel: Reflections on the Evaluation of DeepSeek-R1 and ChatGPT-4o in Chinese Medical Education.,['Shangxuan Li'],2025
Chatbots for Sexual Health Improvement: A Systematic Review.,"['Hemad Fetrati', 'Gerry Chan', 'Rita Orji']",2025
"Dr. Google vs. Dr. ChatGPT in Online Health Self-Consultation: A Scoping Review of Accuracy, Bias, and Actionability (2023-2025).","['Magdalena Trillo-Domínguez', 'Juan Ignacio Martin-Neira', 'María-Dolores Olvera-Lobo']",2026
Cognitive bias in clinical large language models.,"['Arjun Mahajan', 'Ziad Obermeyer', 'Roxana Daneshjou', 'Jenna C. Lester', 'Dylan Powell']",2025
Quality safety and disparity of an AI chatbot in managing chronic diseases: simulated patient experiments.,"['Yafei Si', 'Yurun Meng', 'Xi Chen', 'Ruopeng An', 'Limin Mao', 'Bingqin Li', 'Hazel Bateman', 'Han Zhang', 'Hongbin Fan', 'Jiaqi Zu', 'Shaoqing Gong', 'Zhongliang Zhou', 'Yudong Miao', 'Xiaojing Fan', 'Gang Chen']",2025
Understanding contraceptive switching rationales from real world clinical notes using large language models.,"['Brenda Y. Miao', 'Christopher Y. K. Williams', 'Ebenezer Chinedu-Eneh', 'Travis Zack', 'Emily Alsentzer', 'Atul J. Butte', 'Irene Y. Chen']",2025
